A=3251 B=7818 C=8817 X=588799155 Y=4369062587 Z=81981453089 M=1973
A=9699 B=5208 C=7175 X=367196056 Y=7491499565 Z=67813110958 M=1753
A=7649 B=9115 C=5792 X=372210859 Y=3281927374 Z=24249727380 M=6928
A=5793 B=5491 C=9017 X=213005438 Y=4913052515 Z=69041439302 M=4994
A=2921 B=5236 C=5781 X=331916666 Y=2279428468 Z=91299014231 M=9528
A=5773 B=3718 C=7854 X=249686362 Y=4650692779 Z=86435733946 M=7426
A=3005 B=4044 C=9846 X=531527500 Y=4660990388 Z=14589749692 M=8803
A=6971 B=9332 C=9413 X=756483784 Y=1032758442 Z=85085343295 M=6302
A=8302 B=8287 C=5901 X=916751964 Y=5244206003 Z=31682252877 M=9027
A=5502 B=8655 C=8673 X=721761395 Y=4330245151 Z=18718031739 M=7109
A=6158 B=9945 C=9167 X=615445218 Y=3678578397 Z=84887347728 M=1791
A=4718 B=6183 C=6253 X=292745502 Y=5274365176 Z=90446354328 M=5786
A=8256 B=7495 C=5692 X=828993527 Y=8270962855 Z=85152101485 M=6783
A=5484 B=4249 C=7238 X=548758827 Y=9482085817 Z=15912265830 M=3154
A=7401 B=4110 C=5245 X=454076170 Y=5726980857 Z=56405221442 M=8073
A=4142 B=3545 C=6064 X=671345040 Y=4898412959 Z=58703667067 M=7829
A=7556 B=9837 C=8157 X=519295393 Y=9988408628 Z=31895671287 M=3956
A=6991 B=5391 C=5134 X=309782787 Y=1154555003 Z=48821671247 M=9979
A=7893 B=3811 C=8869 X=319218756 Y=9391343759 Z=11880549171 M=1741
A=7998 B=9663 C=6598 X=806152126 Y=5987513150 Z=10175863630 M=7514
A=9049 B=7702 C=8548 X=683414814 Y=5702643927 Z=31257594996 M=3229
A=5623 B=5358 C=5906 X=748420379 Y=4811687633 Z=96341501740 M=6590
A=4928 B=7902 C=7515 X=273403519 Y=3222191581 Z=25997203016 M=2870
A=8019 B=9604 C=9103 X=168603107 Y=2185796032 Z=13729576743 M=3358
A=4130 B=4985 C=7454 X=203749580 Y=3607313707 Z=71336963372 M=7213
A=7158 B=4455 C=9413 X=249896356 Y=9990496983 Z=92522004776 M=5770
A=3720 B=8212 C=7587 X=302076322 Y=7457589936 Z=44291615107 M=4131
A=8579 B=4888 C=9164 X=940738072 Y=8348011438 Z=51007164296 M=3095
A=2060 B=4313 C=7048 X=954136544 Y=6677770422 Z=87822072415 M=2130
A=7254 B=3607 C=5263 X=436910826 Y=9332448717 Z=26526156271 M=9481
A=6303 B=6788 C=6690 X=526930180 Y=5918303488 Z=10270362605 M=3982
A=8045 B=7886 C=7165 X=627992460 Y=6615493110 Z=82748842950 M=2575
A=7263 B=8248 C=6193 X=779709795 Y=7789811388 Z=73222300648 M=4597
A=8873 B=9539 C=9784 X=470444299 Y=2265041132 Z=91692850321 M=8898
A=4513 B=9470 C=9335 X=439545732 Y=6316319848 Z=69203574562 M=7578
A=9602 B=6075 C=6174 X=180796520 Y=2112585330 Z=56742371346 M=4536
A=6132 B=8372 C=8101 X=240283674 Y=5305648162 Z=20058568813 M=6263
A=5178 B=3698 C=5277 X=232353022 Y=1490103237 Z=32511345798 M=1439
A=9210 B=3327 C=7702 X=198672404 Y=8905407808 Z=65083438196 M=9385
A=4355 B=6391 C=8671 X=964947617 Y=4552146830 Z=72276349574 M=3729
A=3071 B=7882 C=9268 X=850046328 Y=6561051514 Z=66103671258 M=7879
A=6207 B=6636 C=8377 X=539056545 Y=5067834980 Z=33517218017 M=6227
A=7043 B=9927 C=9646 X=179938520 Y=5080979329 Z=85837166156 M=1236
A=5237 B=5329 C=8458 X=752218020 Y=2137942582 Z=12448808137 M=4283
A=4932 B=7747 C=6952 X=575788207 Y=9263547080 Z=97091922008 M=4232
A=2918 B=8752 C=9742 X=213570367 Y=1584306610 Z=57782956308 M=8655
A=9931 B=9142 C=8712 X=285203175 Y=3812533118 Z=72780747540 M=6689
A=3482 B=4075 C=9241 X=371150853 Y=9142646284 Z=53637060474 M=3637
A=3435 B=6565 C=6188 X=428684120 Y=7081596683 Z=98628820867 M=8023
A=6664 B=4139 C=8303 X=754551588 Y=7834925570 Z=28864172101 M=2445
A=9369 B=4503 C=9392 X=610628291 Y=7225693271 Z=92047972195 M=2488
A=5670 B=4733 C=8107 X=347689517 Y=9468481944 Z=90127877289 M=1639
A=7403 B=3742 C=9464 X=362695846 Y=5489720596 Z=62438804781 M=2522
A=6262 B=3809 C=6313 X=578347393 Y=9889354995 Z=17599890219 M=9459
A=4932 B=7576 C=9373 X=755458769 Y=1843745004 Z=27083549361 M=5484
A=8331 B=4002 C=9104 X=664196355 Y=8723047858 Z=76201732608 M=7392
A=5712 B=3446 C=8970 X=288936113 Y=5009032214 Z=30207116375 M=3162
A=3914 B=7249 C=6850 X=770951861 Y=5863575031 Z=42723007003 M=3559
A=9167 B=9449 C=5491 X=716307642 Y=2743098939 Z=30608495059 M=1054
A=9294 B=8077 C=5060 X=351803335 Y=5004636500 Z=62008608956 M=8227
A=8747 B=5789 C=9916 X=371675039 Y=5076030108 Z=28204772385 M=6687
A=9017 B=7355 C=7534 X=299549686 Y=2871461574 Z=43549954683 M=5576
A=8989 B=3222 C=6532 X=220785936 Y=7933569962 Z=53642425795 M=7907
A=8066 B=6600 C=7832 X=508123461 Y=8968399627 Z=13670757214 M=6425
A=6157 B=5113 C=5765 X=950831884 Y=3485550157 Z=42339257230 M=6963
A=2352 B=9165 C=7367 X=859501453 Y=6472060701 Z=75644228366 M=4273
A=2647 B=3144 C=7105 X=346734121 Y=1824541753 Z=14045870704 M=4906
A=7554 B=3290 C=5112 X=402715120 Y=4508557249 Z=85752701830 M=7068
A=6451 B=9054 C=7863 X=989539904 Y=3478950521 Z=94760757174 M=1813
A=3851 B=5917 C=5003 X=538364470 Y=9134736749 Z=57088731759 M=4886
A=5784 B=4054 C=9264 X=459734261 Y=7022780038 Z=80104904632 M=6880
A=3307 B=8406 C=9145 X=524639741 Y=1338042901 Z=82999270808 M=8080
A=4612 B=7529 C=5568 X=278860589 Y=4557932295 Z=92723163089 M=6976
A=5241 B=3045 C=5871 X=809144586 Y=8084301684 Z=75591353973 M=6069
A=8384 B=4818 C=9724 X=757242571 Y=1560349605 Z=30137753796 M=5293
A=7015 B=4068 C=5253 X=803009443 Y=6172267991 Z=95815607250 M=8284
A=3812 B=7644 C=9281 X=306692686 Y=6593352869 Z=75473783252 M=6903
A=9150 B=5191 C=6585 X=191046475 Y=1718692138 Z=15508941231 M=8677
A=2933 B=8798 C=8039 X=399723161 Y=2585998081 Z=61014825585 M=1055
A=5355 B=6721 C=9873 X=828258789 Y=2703667122 Z=91042556541 M=4531
A=4067 B=6070 C=5173 X=964021394 Y=9588353945 Z=58565617468 M=2368
A=9086 B=8110 C=7511 X=354494893 Y=1315866700 Z=93371135950 M=5648
A=9044 B=4197 C=5057 X=925477930 Y=3560320136 Z=94609096939 M=1587
A=7922 B=5913 C=5867 X=987818249 Y=5884052731 Z=61680126949 M=4389
A=4643 B=7367 C=6795 X=633501893 Y=6584550807 Z=72903601376 M=2567
A=5544 B=3715 C=9415 X=677011588 Y=2008761852 Z=63964119693 M=7967
A=3189 B=4713 C=5896 X=232644851 Y=4960672500 Z=51023809507 M=9501
A=7588 B=4033 C=6088 X=233791523 Y=6621007367 Z=72909531510 M=2380
A=8540 B=3233 C=5694 X=401224757 Y=9907477391 Z=64777168235 M=7957
A=2074 B=4118 C=9909 X=576236512 Y=8330637405 Z=97074294017 M=5293
A=2216 B=8642 C=7750 X=699255756 Y=3192561501 Z=98591931317 M=1215
A=5201 B=7524 C=8605 X=228160950 Y=4119375331 Z=23350674925 M=7945
A=9936 B=9408 C=7076 X=930666303 Y=1985691009 Z=69088492943 M=4995
A=4550 B=7298 C=8934 X=376845952 Y=4029955881 Z=70403319265 M=2193
A=7479 B=4148 C=5165 X=811054217 Y=8526548517 Z=17348434230 M=1904
A=8748 B=8694 C=6696 X=745200112 Y=6318454251 Z=61430391503 M=4044
A=2534 B=6998 C=7283 X=189456192 Y=5334089621 Z=37542687946 M=7061
A=8102 B=3450 C=8273 X=393498880 Y=4847498549 Z=41420421440 M=8503
A=4499 B=6926 C=6912 X=294265273 Y=1141549569 Z=83926268144 M=6032
A=9242 B=4849 C=7172 X=307149713 Y=1297401783 Z=15869334762 M=9277
A=6440 B=7174 C=9362 X=330526798 Y=8228529248 Z=52908440455 M=1022
A=3978 B=5922 C=7668 X=567015546 Y=5944607046 Z=26828858615 M=4886
A=4253 B=6204 C=8317 X=485069522 Y=9320339529 Z=62847774380 M=2037
A=2601 B=6515 C=8033 X=790919959 Y=5161498495 Z=10227818657 M=1279
A=5513 B=8818 C=7040 X=932245930 Y=2788835684 Z=71440738583 M=7341
A=6452 B=8369 C=9152 X=488810449 Y=3752038986 Z=19685612375 M=4770
A=3989 B=6200 C=8340 X=263616264 Y=6384190866 Z=20051891807 M=1095
A=3430 B=7689 C=8265 X=256803770 Y=9851462181 Z=54103278666 M=1475
A=4941 B=9931 C=6663 X=683077891 Y=4322673677 Z=82060701897 M=9221
A=8514 B=5523 C=8640 X=504169625 Y=3823234920 Z=73914098817 M=7785
A=3067 B=7046 C=7697 X=980858301 Y=5929813975 Z=27714174214 M=9799
A=3993 B=7586 C=8536 X=924620455 Y=9732066241 Z=95001647981 M=1172
A=2913 B=3785 C=9063 X=265397654 Y=1668248926 Z=30042717750 M=9041
A=3613 B=8337 C=6619 X=883443320 Y=9830491322 Z=92261531920 M=6769
A=7496 B=4586 C=6795 X=776752485 Y=3339379551 Z=95575823298 M=5897
A=7501 B=7984 C=6226 X=592601686 Y=5765480106 Z=96833944090 M=2901
A=3502 B=7749 C=5739 X=712858946 Y=8930250459 Z=66478828739 M=6036
A=3162 B=4968 C=9986 X=692399104 Y=9052729860 Z=96977977686 M=7130
A=6365 B=7957 C=8515 X=406519457 Y=5437021855 Z=31205523131 M=7948
A=6980 B=8999 C=5913 X=383794920 Y=5625555637 Z=23433691001 M=6531
A=6254 B=8092 C=7846 X=140619324 Y=8396020595 Z=22734122001 M=9138
A=2296 B=7812 C=9562 X=741201351 Y=3961161071 Z=83036475358 M=6649
A=5044 B=5603 C=7714 X=498115318 Y=3378342589 Z=39803934781 M=6152
A=7886 B=7032 C=6484 X=346340735 Y=3201916374 Z=48536784773 M=9319
A=4317 B=3450 C=9431 X=718855323 Y=7560122625 Z=21741675962 M=6116
A=6697 B=6759 C=8978 X=183603240 Y=4031718207 Z=80775415124 M=5441
A=2342 B=3418 C=7747 X=488098769 Y=3872295347 Z=25830114251 M=9374
A=9316 B=9178 C=9988 X=459476639 Y=5319779651 Z=80021000541 M=9611
A=3078 B=7492 C=8766 X=903704993 Y=2320210457 Z=78820874821 M=6118
A=5407 B=8278 C=5089 X=360752758 Y=6507581991 Z=31064613363 M=2921
A=8289 B=4641 C=7556 X=648425114 Y=6489361704 Z=13443565971 M=3576
A=9846 B=6291 C=9583 X=151678141 Y=3467641550 Z=90657231041 M=2865
A=3763 B=6041 C=6618 X=496467340 Y=5600123942 Z=58320111223 M=6867
A=3613 B=6573 C=6305 X=970873314 Y=3892391710 Z=24700175386 M=9400
A=6886 B=5100 C=9372 X=784049604 Y=4636684274 Z=28569973838 M=4956
A=7816 B=5617 C=6979 X=983401369 Y=5747365055 Z=48773350417 M=8549
A=8496 B=3977 C=8086 X=353028204 Y=1570361899 Z=14698512154 M=1704
A=5746 B=7039 C=8313 X=880352931 Y=5846082061 Z=31790139956 M=4849
A=6685 B=3643 C=5929 X=221658346 Y=3435492216 Z=90938873534 M=7651
A=5145 B=7810 C=5233 X=720019527 Y=4959175513 Z=60448150019 M=3571
A=5997 B=3895 C=9321 X=827167091 Y=4973204511 Z=26268836376 M=4060
A=3465 B=7826 C=5179 X=263756319 Y=8929701703 Z=40821442804 M=7827
A=8577 B=9024 C=5190 X=153841908 Y=1359714717 Z=10614972658 M=1626
A=3915 B=6689 C=8604 X=244209276 Y=9187514124 Z=85984124745 M=7086
A=8587 B=3807 C=5423 X=491573227 Y=5625176747 Z=26327154083 M=1894
A=9243 B=3254 C=5846 X=361984048 Y=8872865848 Z=10376642091 M=2018
A=9797 B=4614 C=9706 X=869976324 Y=7154305112 Z=61952883858 M=4486
A=6501 B=3916 C=5732 X=115220131 Y=2601810123 Z=61181676700 M=1835
A=4969 B=7258 C=5269 X=467045274 Y=8760224654 Z=26319787377 M=8917
A=3024 B=4685 C=7016 X=860750176 Y=9475454667 Z=51932335846 M=9232
A=5749 B=7814 C=5120 X=965536265 Y=5163004772 Z=28744774391 M=2468
A=8925 B=9643 C=7434 X=940262084 Y=3051080792 Z=35914954069 M=1681
A=7033 B=4606 C=6646 X=372040280 Y=3970249305 Z=93960565463 M=7472
A=2420 B=3771 C=5173 X=662402695 Y=7684062767 Z=70895936476 M=5511
A=7627 B=6640 C=6263 X=271956833 Y=9694557398 Z=73349711722 M=6418
A=5347 B=8068 C=5375 X=879732343 Y=3325856002 Z=22768813173 M=3131
A=7641 B=3758 C=9978 X=643481088 Y=8635507773 Z=87281723745 M=4142
A=6348 B=5280 C=5979 X=728906261 Y=4207929821 Z=24104614833 M=9281
A=7906 B=6202 C=6005 X=229678503 Y=8000038469 Z=86028441194 M=3914
A=4784 B=5685 C=7864 X=617396869 Y=1982985215 Z=60891397825 M=8269
A=8861 B=3610 C=5301 X=705383738 Y=4733495950 Z=36565509743 M=2655
A=7943 B=7500 C=6449 X=450828846 Y=6231298603 Z=69597407889 M=5199
A=4583 B=7653 C=9485 X=904951292 Y=7434427229 Z=24580140795 M=7404
A=6451 B=4833 C=9295 X=264602843 Y=3910442468 Z=94805003383 M=6379
A=6261 B=9616 C=8848 X=705571141 Y=2094589408 Z=37613806660 M=2659
A=3978 B=9443 C=8368 X=877830779 Y=3136556067 Z=71613715393 M=9285
A=8858 B=9880 C=6501 X=993040756 Y=8758887239 Z=13527136541 M=8208
A=9279 B=8128 C=7372 X=351533678 Y=9860156246 Z=95254393247 M=1898
A=7055 B=4782 C=6687 X=646441823 Y=3309010564 Z=13761817081 M=5635
A=7847 B=4381 C=9499 X=128542409 Y=8836204752 Z=21983372295 M=7761
A=8629 B=3750 C=7958 X=142138426 Y=1393727280 Z=80512824756 M=3924
A=2738 B=6278 C=7046 X=621063808 Y=2398064318 Z=22655449056 M=1893
A=6271 B=3477 C=5311 X=658843827 Y=2916324104 Z=87939717882 M=1705
A=3109 B=9648 C=7257 X=741502875 Y=4655118280 Z=89693500305 M=8773
A=6869 B=8001 C=8099 X=869175617 Y=7750205655 Z=80426001713 M=4127
A=4001 B=7712 C=9998 X=803768678 Y=4220183647 Z=12272265107 M=9256
A=8301 B=3657 C=8763 X=807837594 Y=4112199458 Z=71181387184 M=7446
A=4958 B=8386 C=7274 X=790177587 Y=4241252780 Z=58868578893 M=4840
A=5130 B=5534 C=8446 X=888463151 Y=8572675989 Z=53162066751 M=9573
A=8791 B=7286 C=8796 X=284041588 Y=3435001821 Z=78269143782 M=9551
A=4764 B=9569 C=8969 X=872024439 Y=2423197436 Z=47426656604 M=4970
A=3560 B=7083 C=8258 X=585128111 Y=2421164531 Z=50309767701 M=7157
A=8198 B=7557 C=7257 X=992970268 Y=3496103622 Z=30024920777 M=4347
A=8078 B=6930 C=8458 X=218176350 Y=5564211037 Z=14468471657 M=8275
A=5683 B=4196 C=7760 X=414265732 Y=5575644860 Z=34200342781 M=8518
A=3743 B=5933 C=6148 X=691481056 Y=1843982031 Z=78555799078 M=8772
A=2303 B=3267 C=7731 X=673296985 Y=1295563532 Z=59510859983 M=4056
A=5594 B=3711 C=6385 X=569579327 Y=2380881162 Z=94310640972 M=9986
A=2210 B=9219 C=5808 X=643552854 Y=7410266716 Z=46580159035 M=4143
A=4679 B=6533 C=8991 X=997559236 Y=1903409724 Z=95218072869 M=9130
A=7199 B=4864 C=8910 X=905927580 Y=3169227385 Z=56094572014 M=2837
A=7860 B=9799 C=5972 X=219841087 Y=2959152242 Z=41689983505 M=6911
A=9247 B=5492 C=7317 X=615069602 Y=5282047196 Z=96620386274 M=6331
A=8627 B=7615 C=9325 X=754889943 Y=9731481000 Z=93953559873 M=1608
A=4378 B=8335 C=6767 X=568172638 Y=1025518386 Z=88151308981 M=5949
A=8958 B=3337 C=6014 X=981665783 Y=1018312892 Z=71699988172 M=2433
A=7801 B=4260 C=7896 X=663806000 Y=3281078570 Z=12723660138 M=7373
A=5439 B=9953 C=9457 X=940832088 Y=4026421632 Z=75663551593 M=8784
A=9210 B=9777 C=6611 X=970752852 Y=8285258977 Z=48516221352 M=9404
A=9880 B=3040 C=9855 X=802258116 Y=3521448181 Z=58406615393 M=7407
A=8696 B=6679 C=5115 X=586544142 Y=1577681216 Z=31078667884 M=1578
A=7582 B=5446 C=7138 X=133813313 Y=6480355751 Z=80222288869 M=2239
A=4548 B=7238 C=9421 X=427396888 Y=6353226380 Z=39285531294 M=4270
A=2790 B=4608 C=8618 X=159605688 Y=6013148936 Z=39210053569 M=9690
A=6721 B=6004 C=6667 X=578737341 Y=5819524023 Z=72078956254 M=2449
A=5096 B=7549 C=8707 X=816468600 Y=4430772597 Z=43253313210 M=2932
A=5490 B=7809 C=9457 X=332539473 Y=6445176233 Z=95889466749 M=7366
A=2667 B=6118 C=6974 X=846936191 Y=6385311643 Z=13684606412 M=9607
A=4085 B=5703 C=6180 X=161810712 Y=4681144313 Z=77333568816 M=1121
A=6006 B=3099 C=9283 X=874880201 Y=7305961729 Z=45778029572 M=9765
A=7647 B=7944 C=8594 X=713999087 Y=7027698445 Z=10304434348 M=5526
A=2233 B=4256 C=5704 X=831325649 Y=3337647151 Z=63508670599 M=3589
A=8575 B=5373 C=6077 X=436273718 Y=2880520286 Z=32823799401 M=9337
A=6894 B=6340 C=9707 X=584050190 Y=9026300597 Z=82959108343 M=5004
A=8289 B=4419 C=7278 X=719223868 Y=9087390219 Z=39588551487 M=1980
A=8689 B=3892 C=7412 X=517632132 Y=2060104093 Z=29324718090 M=8532
A=4427 B=5224 C=6391 X=980326345 Y=7998496832 Z=96973768061 M=1908
A=6621 B=5197 C=9742 X=775309082 Y=2472286786 Z=98415129617 M=5309
A=9574 B=7516 C=8642 X=476982371 Y=2764533921 Z=25234717653 M=1274
A=6694 B=8794 C=8680 X=365024794 Y=9956343133 Z=93508081290 M=9504
A=7635 B=7417 C=9112 X=702317821 Y=7689435951 Z=26756498392 M=6026
A=9776 B=7912 C=5693 X=513545619 Y=4923678746 Z=81582728091 M=2767
A=3408 B=9919 C=6007 X=696171496 Y=4285185090 Z=47604111387 M=2532
A=7020 B=9171 C=6347 X=754293960 Y=8440212870 Z=67033669328 M=4650
A=6599 B=3792 C=5630 X=145279612 Y=3034053910 Z=65919139123 M=5042
A=8146 B=9229 C=5962 X=542414816 Y=8371309634 Z=83380233219 M=3868
A=3782 B=6081 C=8617 X=843030959 Y=4946731854 Z=43710845580 M=4926
A=2782 B=7872 C=6109 X=997821623 Y=1147867418 Z=98814224550 M=9390
